0.54	37.119	-0.0400009	0	0.0144736	0	0	0	
0.54	37.131	-0.220005	0	-0.0416291	0	0	0	
0.54	37.132	-0.230005	0	-0.107842	0	0	0	
0.54	37.161	-0.130003	0	-0.1287	0	0	0	
0.54	37.207	-0.120003	0	-0.0750567	0	0	0	
0.54	37.248	-0.110003	0	-0.0420014	0	0	0	
0.54	37.284	-0.110003	0	-0.0507705	0	0	0	
0.54	37.312	-0.110003	0	-0.0596358	0	0	0	
0.54	37.333	-0.110003	0	-0.0743275	0	0	0	
0.54	37.344	-0.110003	0	-0.0872499	0	0	0	
0.54	37.346	-0.100002	0	-0.10602	0	0	0	
0.54	37.346	-0.0900021	0	-0.123083	0	0	0	
0.504	37.346	-0.0700016	0	-0.12687	0	0	0	
0.504	37.345	-0.0600014	0	0.930326	0	0	0	
0.504	37.345	-0.0500011	0	-0.0759867	0	0	0	
0.504	37.343	-0.0600014	0	-0.0740955	0	0	0	
0.504	37.339	-0.0900021	0	-0.0779262	0	0	0	
0.504	37.339	-0.100002	0	-0.0817964	0	0	0	
0.504	37.339	-0.0900021	0	-0.0742	0	0	0	
0.504	37.339	-0.0700016	0	-0.0742	0	0	0	
0.504	37.339	-0.0700016	0	-0.0742	0	0	0	
0.504	37.339	-0.150003	0	-0.0742	0	0	0	
0.504	37.339	-0.160004	0	-0.0742	0	0	0	
0.504	37.348	-0.180004	0	-0.0742	0	0	0	
0.504	37.368	-0.160004	0	-0.0569546	0	0	0	
0.504	37.401	-0.120003	0	-0.0357445	0	0	0	
0.54	37.441	-0.100002	0	-0.0105029	0	0	0	
0.54	37.478	-0.0600014	0	-1.05371	0	0	0	
0.54	37.498	-0.0700016	0	-0.0543572	0	0	0	
0.54	37.499	-0.0100002	0	-0.0862677	0	0	0	
0.54	37.494	-0.0600014	0	-0.12231	0	0	0	
0.54	37.476	-0.120003	0	-0.13378	0	0	0	
0.54	37.464	-0.0900021	0	-0.158765	0	0	0	
0.54	37.47	-0.0500011	0	-0.147586	0	0	0	
0.54	37.473	-0.0300007	0	-0.113327	0	0	0	
0.54	37.469	0	0	-0.118962	0	0	0	
0.504	37.46	0.0200005	0	-0.13232	0	0	0	
0.504	37.441	0.0100002	0	0.915232	0	0	0	
0.504	37.404	0	0	-0.108478	0	0	0	
0.504	37.349	-0.0800018	0	-0.143277	0	0	0	
0.504	37.29	-0.140003	0	-0.178399	0	0	0	
0.504	37.252	-0.170004	0	-0.187018	0	0	0	
0.504	37.252	0.0100002	0	-0.147824	0	0	0	
0.504	37.27	0.110003	0	-0.0757149	0	0	0	
0.504	37.257	0.0400009	0	-0.0412471	0	0	0	
0.504	37.202	-0.0400009	0	-0.100299	0	0	0	
0.504	37.128	-0.100002	0	-0.180949	0	0	0	
0.504	37.063	-0.0900021	0	-0.218302	0	0	0	
0.504	37.033	0.0400009	0	-0.20235	0	0	0	
0.504	37.027	0.0900021	0	-0.136468	0	0	0	
0.504	37.011	0.0500011	0	-0.0910209	0	0	0	
0.468	36.972	0.0800018	0	-0.110266	0	0	0	
0.468	36.913	0.0300007	0	0.902586	0	0	0	
0.468	36.834	-0.0100002	0	-0.140782	0	0	0	
0.468	36.739	-0.0600014	0	-0.180113	0	0	0	
0.468	36.649	-0.120003	0	-0.21214	0	0	0	
0.468	36.587	-0.0900021	0	-0.204215	0	0	0	
0.468	36.566	-0.0400009	0	-0.152156	0	0	0	
0.468	36.569	-0.0500011	0	-0.0747201	0	0	0	
0.468	36.57	-0.0300007	0	-0.0291255	0	0	0	
0.504	36.57	0	0	-0.0328994	0	0	0	
0.504	36.569	-0.0100002	0	-1.092	0	0	0	
0.504	36.568	0	0	-0.0895089	0	0	0	
0.504	36.568	0.0500011	0	-0.0895309	0	0	0	
0.504	36.567	0.260006	0	-0.0876261	0	0	0	
0.468	36.534	0.150003	0	-0.0895392	0	0	0	
0.468	36.419	-0.0300007	0	0.90636	0	0	0	
0.468	36.253	-0.0700016	0	-0.255658	0	0	0	
0.432	36.098	-0.0700016	0	-0.355334	0	0	0	
0.432	35.975	-0.0600014	0	0.720039	0	0	0	
0.432	35.879	0	0	-0.225777	0	0	0	
0.432	35.799	0.0100002	0	-0.17622	0	0	0	
0.432	35.718	0.0500011	0	-0.147245	0	0	0	
0.432	35.63	0.0100002	0	-0.150556	0	0	0	
0.396	35.532	0	0	-0.165376	0	0	0	
0.396	35.431	0	0	0.871143	0	0	0	
0.396	35.328	0.0100002	0	-0.140708	0	0	0	
0.396	35.227	0	0	-0.146307	0	0	0	
0.396	35.128	-0.0300007	0	-0.144265	0	0	0	
0.396	35.037	0.0100002	0	-0.142197	0	0	0	
0.396	34.963	0.0400009	0	-0.128603	0	0	0	
0.396	34.893	0.0500011	0	-0.0976236	0	0	0	
0.36	34.814	0.0600014	0	-0.0912598	0	0	0	
0.36	34.722	0.0300007	0	0.94749	0	0	0	
0.36	34.617	0.0200005	0	-0.0832015	0	0	0	
0.36	34.511	0	0	-0.109683	0	0	0	
0.36	34.404	-0.0300007	0	-0.113429	0	0	0	
0.36	34.307	-0.0200005	0	-0.117188	0	0	0	
0.36	34.229	0.0100002	0	-0.0999113	0	0	0	
0.36	34.164	0.0400009	0	-0.0652103	0	0	0	
0.36	34.1	0.0800018	0	-0.0416663	0	0	0	
0.36	34.026	0.0600014	0	-0.0408896	0	0	0	
0.36	33.934	0.0300007	0	-0.0611489	0	0	0	
0.36	33.825	0	0	-0.0969145	0	0	0	
0.36	33.71	-0.0100002	0	-0.131076	0	0	0	
0.36	33.603	0	0	-0.144457	0	0	0	
0.36	33.51	0.0300007	0	-0.131146	0	0	0	
0.36	33.422	0.0600014	0	-0.106189	0	0	0	
0.36	33.329	0.0600014	0	-0.0982431	0	0	0	
